anzsco_code,occupation,state,share_pct
149111,Amusement Centre Managers,TAS,1.9
149111,Amusement Centre Managers,NT,0.8
149111,Amusement Centre Managers,ACT,2.1
149112,Fitness Centre Managers,NSW,29.7
149112,Fitness Centre Managers,VIC,26.3
149112,Fitness Centre Managers,QLD,23
149112,Fitness Centre Managers,SA,5.9
149112,Fitness Centre Managers,WA,11.2
149112,Fitness Centre Managers,TAS,1.4
149112,Fitness Centre Managers,NT,0.6
149112,Fitness Centre Managers,ACT,2.1
149113,Sports Centre Managers,NSW,26.7
149113,Sports Centre Managers,VIC,30.4
149113,Sports Centre Managers,QLD,19.8
149113,Sports Centre Managers,SA,5.7
149113,Sports Centre Managers,WA,13
149113,Sports Centre Managers,TAS,1.4
149113,Sports Centre Managers,NT,1
149113,Sports Centre Managers,ACT,1.9
149211,Call Centre or Contact Centre Managers,NSW,32.4
149211,Call Centre or Contact Centre Managers,VIC,28
149211,Call Centre or Contact Centre Managers,QLD,21
149211,Call Centre or Contact Centre Managers,SA,7.5
149211,Call Centre or Contact Centre Managers,WA,7.2
149211,Call Centre or Contact Centre Managers,TAS,1.7
149211,Call Centre or Contact Centre Managers,NT,0.6
149211,Call Centre or Contact Centre Managers,ACT,1.6
149212,Customer Service Managers,NSW,36.1
149212,Customer Service Managers,VIC,27.1
149212,Customer Service Managers,QLD,17.8
149212,Customer Service Managers,SA,6.1
149212,Customer Service Managers,WA,8.9
149212,Customer Service Managers,TAS,1.5
149212,Customer Service Managers,NT,0.7
149212,Customer Service Managers,ACT,1.7
149411,Fleet Managers,NSW,31.4
149411,Fleet Managers,VIC,26.6
149411,Fleet Managers,QLD,20.3
149411,Fleet Managers,SA,5.4
149411,Fleet Managers,WA,11.7
149411,Fleet Managers,TAS,1.9
149411,Fleet Managers,NT,1.6
149411,Fleet Managers,ACT,1
149412,Railway Station Managers,NSW,43.8
149412,Railway Station Managers,VIC,19.3
149412,Railway Station Managers,QLD,30.1
149412,Railway Station Managers,SA,3
149412,Railway Station Managers,WA,3.2
149412,Railway Station Managers,TAS,0
149412,Railway Station Managers,NT,0
149412,Railway Station Managers,ACT,0
149413,Transport Company Managers,NSW,27.1
149413,Transport Company Managers,VIC,28.5
149413,Transport Company Managers,QLD,23.7
149413,Transport Company Managers,SA,6.4
149413,Transport Company Managers,WA,10.8
149413,Transport Company Managers,TAS,2
149413,Transport Company Managers,NT,0.7
149413,Transport Company Managers,ACT,0.8
149911,Boarding Kennel and Cattery Operators,NSW,22.9
149911,Boarding Kennel and Cattery Operators,VIC,26.3
149911,Boarding Kennel and Cattery Operators,QLD,20.7
149911,Boarding Kennel and Cattery Operators,SA,6.6
149911,Boarding Kennel and Cattery Operators,WA,17.7
149911,Boarding Kennel and Cattery Operators,TAS,4.4
149911,Boarding Kennel and Cattery Operators,NT,1
149911,Boarding Kennel and Cattery Operators,ACT,0
149912,Cinema and Theatre Managers,NSW,27.9
149912,Cinema and Theatre Managers,VIC,32.2
149912,Cinema and Theatre Managers,QLD,18.7
149912,Cinema and Theatre Managers,SA,6.1
149912,Cinema and Theatre Managers,WA,10.5
149912,Cinema and Theatre Managers,TAS,2.3
149912,Cinema and Theatre Managers,NT,0.3
149912,Cinema and Theatre Managers,ACT,2.1
149913,Facilities Managers,NSW,33.1
149913,Facilities Managers,VIC,24.9
149913,Facilities Managers,QLD,20.6
149913,Facilities Managers,SA,6.5
149913,Facilities Managers,WA,10.1
149913,Facilities Managers,TAS,1.5
149913,Facilities Managers,NT,1.1
149913,Facilities Managers,ACT,2.3
149914,Bank Managers and Branch Managers,NSW,38.8
149914,Bank Managers and Branch Managers,VIC,25.8
149914,Bank Managers and Branch Managers,QLD,16.5
149914,Bank Managers and Branch Managers,SA,6.7
149914,Bank Managers and Branch Managers,WA,8.8
149914,Bank Managers and Branch Managers,TAS,1.6
149914,Bank Managers and Branch Managers,NT,0.5
149914,Bank Managers and Branch Managers,ACT,1.1
149915,Equipment Hire Managers,NSW,28
149915,Equipment Hire Managers,VIC,22.5
149915,Equipment Hire Managers,QLD,24.9
149915,Equipment Hire Managers,SA,5.5
149915,Equipment Hire Managers,WA,15.5
149915,Equipment Hire Managers,TAS,1.5
149915,Equipment Hire Managers,NT,1.4
149915,Equipment Hire Managers,ACT,0.9
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",NSW,31.2
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",VIC,26.1
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",QLD,20.7
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",SA,6.6
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",WA,10
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",TAS,2.3
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",NT,1.2
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",ACT,2
211111,Actors,NSW,35.4
211111,Actors,VIC,33.6
211111,Actors,QLD,17
211111,Actors,SA,4.9
211111,Actors,WA,7.2
211111,Actors,TAS,0.9
211111,Actors,NT,0
211111,Actors,ACT,1
211112,Dancers and Choreographers,NSW,16.2
211112,Dancers and Choreographers,VIC,28.2
