level,anzsco_code,anzsco_title,jsa_remoteness,date,vacancies
4,1412,Caravan Park and Camping Ground Managers,Major City,2026-07-01,1
4,1413,Hotel and Motel Managers,Major City,2026-07-01,373
4,1414,Licensed Club Managers,Major City,2026-07-01,105
4,1419,Other Accommodation and Hospitality Managers,Major City,2026-07-01,57
4,1421,Retail Managers,Major City,2026-07-01,2490
4,1491,"Amusement, Fitness and Sports Centre Managers",Major City,2026-07-01,200
4,1492,Call or Contact Centre and Customer Service Managers,Major City,2026-07-01,440
4,1493,Conference and Event Organisers,Major City,2026-07-01,347
4,1494,Transport Services Managers,Major City,2026-07-01,173
4,1499,"Other Hospitality, Retail and Service Managers",Major City,2026-07-01,695
1,2,PROFESSIONALS,Major City,2026-07-01,41881
2,21,Arts and Media Professionals,Major City,2026-07-01,1002
2,24,Education Professionals,Major City,2026-07-01,1826
2,26,ICT Professionals,Major City,2026-07-01,5665
2,27,"Legal, Social and Welfare Professionals",Major City,2026-07-01,5217
2,2A,"Business, Finance and Human Resource Professionals",Major City,2026-07-01,6642
2,2B,Information Professionals,Major City,2026-07-01,1699
