industry_label,males,females,persons
"Auxiliary Finance and Investment Services, nfd",1029,583,1618
Financial Asset Broking Services,9925,5413,15334
Other Auxiliary Finance and Investment Services,52191,42747,94933
Auxiliary Insurance Services,8246,9772,18018
Total Financial and Insurance Services,219849,225280,445121
"Rental, Hiring and Real Estate Services, nfd",362,442,804
"Rental and Hiring Services (except Real Estate), nfd",860,333,1192
"Motor Vehicle and Transport Equipment Rental and Hiring, nfd",598,390,991
Passenger Car Rental and Hiring,3343,2412,5751
Other Motor Vehicle and Transport Equipment Rental and Hiring,2198,784,2987
Farm Animal and Bloodstock Leasing,6,0,10
"Other Goods and Equipment Rental and Hiring, nfd",360,138,502
Heavy Machinery and Scaffolding Rental and Hiring,7203,2158,9359
Video and Other Electronic Media Rental and Hiring,86,77,162
Other Goods and Equipment Rental and Hiring nec,5818,2953,8771
Non-Financial Intangible Assets (except Copyrights) Leasing,143,195,336
"Property Operators and Real Estate Services, nfd",3360,4157,7520
"Property Operators, nfd",456,505,953
Residential Property Operators,3344,4857,8199
Non-Residential Property Operators,11254,9562,20816
Real Estate Services,52149,67138,119283
"Total Rental, Hiring and Real Estate Services",91528,96089,187621
"Professional, Scientific and Technical Services, nfd",3227,2221,5450
"Professional, Scientific and Technical Services (except Computer System Design and Related Services), nfd",2362,1848,4211
Scientific Research Services,16375,19625,35996
"Architectural, Engineering and Technical Services, nfd",3189,1149,4342
Architectural Services,28247,18851,47095
Surveying and Mapping Services,7163,2076,9244
Engineering Design and Engineering Consulting Services,71565,23892,95456
Other Specialised Design Services,12646,16591,29235
Scientific Testing and Analysis Services,11686,6687,18375
"Legal and Accounting Services, nfd",19,20,38
Legal Services,42627,80332,122958
Accounting Services,62161,84388,146553
Advertising Services,19517,22542,42065
Market Research and Statistical Services,9689,11929,21621
"Management and Related Consulting Services, nfd",1630,1484,3112
Corporate Head Office Management Services,6981,5218,12200
Management Advice and Related Consulting Services,38426,34402,72828
